text_id	sp_code	lang	sentence	(word)	(rus)	gloss	form	p	atr	ep	clause	seq_nr	comment
b4	kvan11	Bagvalal	1	b=eɬi=r=o ek’ʷa	уходить есть	hpl=v=hpl=conv cop	perfect	pf	NA	NA	first	43	
b7	kvan5	Bagvalal	1	s’ajl-aː	учиться	v-ms.pot.inf	infinitive	other	NA	NA	dependent	46	
b7	kvan5	Bagvalal	1	j=eɬi=j=o j=uk’a	ехать быть	f=v=f=conv f=v	preterite_pluperfect	other	NA	NA	first	46	
b9	kvan3	Bagvalal	1			hpl=v=hpl hpl=v=hpl=ipf-conv	preterite_imperfect	other	NA	NA	first	51	
t01	mish1	Tsakhur	1	ha=r=k’ɨn-niː	идти	1=v.pf-em2	aorist	pst	naf		first	52	
t02	mish1	Tsakhur	1	w=ukːan-na	хотеть	3=v.ipf-aa	atr_present	other	af		comment	53	
t02	mish1	Tsakhur	1	haʔ-as	делать	3.v-pot	infinitive	other	naf		comment	53	
t02	mish1	Tsakhur	1	w=uxa-na	стать	3=v.pf-aa	participle	other	ptcp		comment	53	
t03	mish9	Tsakhur	1	ɢadže-jn	видеть	4.v.pf-a	atr_aorist	pst	af		intro	54	
t04	mish4	Tsakhur	1	ɨxa-jn	стать	4.v.pf-a	atr_aorist	pst	af		intro	55	
t7	mish8	Tsakhur	1	w=uxa-na	стать	3=v.pf-aa	atr_aorist	pst	af		first	67	
t7	mish8	Tsakhur	1	de=w=xa-na	стать	neg=3=v.pf-aa	atr_aorist	pst	af		first	67	
t8	mish4	Tsakhur	1	a=w=q-as	ловить	3=v-pot	infinitive	other	naf		dependent	68	
t8	mish4	Tsakhur	1	-o=b ha=p'=k'ɨn	быть уходить	-v=hpl hpl=v.pf	naf_perfect	pf	naf	ep	first	68	
b11	kvan5	Bagvalal	2			v-msd	masdar	other	NA	NA	non-clausal	6	
b11	kvan5	Bagvalal	2			f=v v-ipf-part=f	preterite_habitual	other	NA	NA	main line	6	
b12	kvan10	Bagvalal	2			v-ipf-part=hpl	participle	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	2			cop=part.n	participle	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	2			hpl=v=hpl.conv=comit hpl=v=hpl	preterite	pst	NA	NA	main line	7	
b12	kvan10	Bagvalal	2			n=v	preterite	pst	NA	NA	main line	7	
b13	kvan5	Bagvalal	2			n=v-caus=n=conv	converb	other	NA	NA	dependent	8	
b13	kvan5	Bagvalal	2			n=v-ipf-part=n n=v=n=conv cop	perfect_habitual	other	NA	NA	main line	8	
b15	kvan9	Bagvalal	2			v=n=conv	converb	other	NA	NA	dependent	14	
b15	kvan9	Bagvalal	2			v=n=conv cop	perfect	pf	NA	NA	main line	14	misprint in gloss
b15	kvan9	Bagvalal	2			v-neg-re	preterite	pst	NA	NA	quote	14	
b15	kvan9	Bagvalal	2			f=v=part.n=temp	sconverb	other	NA	NA	dependent	14	
b15	kvan9	Bagvalal	2			v-ipf-conv m=v-pot-conc	sconverb	other	NA	NA	dependent	14	
b16	kvan13	Bagvalal	2			n=v=m=conv	converb	other	NA	NA	dependent	18	
b16	kvan13	Bagvalal	2			n=v=f=conv cop	perfect	pf	NA	NA	main line	18	
b16	kvan13	Bagvalal	2			m=v-ipf-part=n=temp	sconverb	other	NA	NA	dependent	18	
b17	kvan13	Bagvalal	2			v-pot.inf	infinitive	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	2			hpl=v-part=hpl	participle	other	NA	NA	non-clausal	19	
b17	kvan13	Bagvalal	2			hpl=v=hpl=conv cop	perfect	pf	NA	NA	main line	19	
b18	kvan5	Bagvalal	2			v n=v.imp-redi	imperative	other	NA	NA	quote	20	
b18	kvan5	Bagvalal	2			v=n=conv cop	perfect	pf	NA	NA	main line	20	
b20	kvan14	Bagvalal	2			m=v=m=conv	converb	other	NA	NA	dependent	24	
b20	kvan14	Bagvalal	2			v=n=conv cop	perfect	pf	NA	NA	main line	24	
b21	kvan4	Bagvalal	2			m=v-neg=m=conv	converb	other	NA	NA	dependent	25	
b21	kvan4	Bagvalal	2			v-ipf-part=n	participle	other	NA	NA	dependent	25	
b21	kvan4	Bagvalal	2			v	preterite	pst	NA	NA	main line	25	
b24	kvan5	Bagvalal	2			cop	present	other	NA	NA	quote	40	
b3	kvan8	Bagvalal	2	NA	NA	NA	NA	NA	NA	NA	NA	42	
b3	kvan11	Bagvalal	2	b=uk’a=b=o weč’e	быть не.есть	n=v=n=conv neg.cop	perfect	pf	NA	NA	comment	42	
b4	kvan11	Bagvalal	2	w=uk’a=w=o ek’ʷa	быть есть	m=v=m=conv cop	perfect	pf	NA	NA	main line	43	
b7	kvan5	Bagvalal	2	qʷaː-ɬiba	писать	v-lim	converb	other	NA	NA	dependent	46	
b7	kvan5	Bagvalal	2	j=uħa-č’i	проскальзывать	f=v-neg	preterite	pst	NA	NA	main line	46	
b9	kvan3	Bagvalal	2			npl=v	preterite	pst	NA	NA	main line	51	
t01	mish1	Tsakhur	2	a=p’=k’ɨn-niː	идти	hpl=v.pf-em2	aorist	pst	naf		main line	52	
t01	mish1	Tsakhur	2	ilʲo=b=zur-niː	останавливаться	hpl=v.pf-em2	aorist	pst	naf		main line	52	
t02	mish1	Tsakhur	2	haːʔ-a-niː w=ejxe-m-mɨ	делать стать	n.3 hpl.v-ipf-em2 hpl=v.ipf-a-pl	atr_unknown	other	af		comment	53	
t03	mish9	Tsakhur	2	aˁlʲhaː wo=r	идти быть	1.v.pf cop=1	naf_durative	other	naf	ep	first	54	
t04	mish4	Tsakhur	2	wo=b=na aˁlʲhaː	быть идти	cop=3=aa v.ipf	af_durative	other	af	nep	comment	55	
t04	mish4	Tsakhur	2	wo=d=un	быть	cop=4=a	atr_present	other	af		comment	55	
t7	mish8	Tsakhur	2	wo=b=ni deš-di	быть не.быть	v=3=aobl neg.cop-aobl	atr_aorist	pst	af		main line	67	
t7	mish8	Tsakhur	2	ɨxa-na	стать	1.v.pf-aa	atr_aorist	pst	af		main line	67	
t8	mish4	Tsakhur	2	t’abalʲ-aːʔ-a	искать-делать	v-3.v-ipf	converb	other	naf		dependent	68	
t8	mish4	Tsakhur	2	a=w=q-as	ловить	3=v-pot	infinitive	other	naf		dependent	68	
t8	mish4	Tsakhur	2	gi=b=ʁɨl-o=b	начинать-быть	hpl=v.pf-v=hpl	naf_perfect	pf	naf	ep	main line	68	
b10	kvan14	Bagvalal	3			f=v-ipf-conv	converb	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	3			v n=v-pot.inf	infinitive	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	3			f=v=f=conv cop	perfect	pf	NA	NA	first	5	
b11	kvan5	Bagvalal	3			f=v	preterite	pst	NA	NA	main line	6	
b12	kvan10	Bagvalal	3			m=v-ipf-conv	converb	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	3			v	preterite	pst	NA	NA	main line	7	
b13	kvan5	Bagvalal	3			v=n=conv cop	perfect	pf	NA	NA	main line	8	
b13	kvan5	Bagvalal	3			cop-rala	present	other	NA	NA	quote	8	
b15	kvan9	Bagvalal	3			v m=v=m=conv cop	perfect	pf	NA	NA	main line	14	
b16	kvan13	Bagvalal	3			n=v-caus=n=conv	converb	other	NA	NA	dependent	18	
b16	kvan13	Bagvalal	3			n=v-caus=n=conv cop	perfect	pf	NA	NA	main line	18	
b16	kvan13	Bagvalal	3			v=f=conv cop	perfect	pf	NA	NA	main line	18	
b17	kvan13	Bagvalal	3			hpl=v=hpl=conv	converb	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	3			neg.cop=n=conv	converb	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	3			hpl=v-pot-fut1	future	other	NA	NA	main line	19	
b17	kvan13	Bagvalal	3			v-pot.inf	infinitive	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	3			hpl=v-ms.pot.inf	infinitive	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	3			hpl=v=hpl=conv cop	perfect	pf	NA	NA	main line	19	
b18	kvan5	Bagvalal	3			v n=v-ipf.inf-da	infinitive	other	NA	NA	dependent	20	
b18	kvan5	Bagvalal	3			v=n=conv cop	perfect	pf	NA	NA	main line	20	
b18	kvan5	Bagvalal	3			v n=v=n=conv cop	perfect	pf	NA	NA	main line	20	
b18	kvan5	Bagvalal	3			v n=v-neg-part-temp	sconverb	other	NA	NA	dependent	20	
b20	kvan14	Bagvalal	3			n=v-bi-neg-pot.inf	infinitive	other	NA	NA	dependent	24	
b20	kvan14	Bagvalal	3			v=npl=conv cop	perfect	pf	NA	NA	main line	24	
b20	kvan14	Bagvalal	3			v-pot-ant2	sconverb	other	NA	NA	dependent	24	
b21	kvan4	Bagvalal	3			v=n=conv	converb	other	NA	NA	dependent	25	
b21	kvan4	Bagvalal	3			v=n=conv cop	perfect	pf	NA	NA	main line	25	
b24	kvan5	Bagvalal	3			cop	present	other	NA	NA	quote	40	
b3	kvan11	Bagvalal	3	heƛ’i-r-oː=w	говорить	v-ipf-part=m	participle	other	NA	NA	dependent	42	
b3	kvan11	Bagvalal	3	w=uk’a=w=o ek’ʷa 	быть есть	m=v=conv=m cop	perfect	pf	NA	NA	first	42	
b4	kvan11	Bagvalal	3	b=aː=b=o	приходить	n=v=n=conv	converb	other	NA	NA	dependent	43	
b4	kvan11	Bagvalal	3	b=eɬi=b=o	уходить	n=v=n=conv	converb	other	NA	NA	dependent	43	
b4	kvan11	Bagvalal	3	b=uχːu=r=o ek’ʷa	оставаться есть	hpl=v=hpl=conv cop	perfect	pf	NA	NA	main line	43	
b5	kvan4	Bagvalal	3	sːʷard-aː-χ	кружиться	v-ms.ipf-conv	converb	other	NA	NA	dependent	44	
b5	kvan4	Bagvalal	3	w=uk’a	быть	m=v	preterite	pst	NA	NA	first	44	
b5	kvan4	Bagvalal	3	w=aː	приходить	m=v	preterite	pst	NA	NA	main line	44	
b7	kvan5	Bagvalal	3	heƛ’i=j=eːna	говорить	v=f.conv=comit	converb	other	NA	NA	dependent	46	
b7	kvan5	Bagvalal	3	j=ič’a	смотреть	f=v-pot.inf	infinitive	other	NA	NA	dependent	46	
b7	kvan5	Bagvalal	3	weč’e-ʁala-di-la	не.есть	neg.cop-rala-di-la	present	other	NA	NA	quote	46	
b7	kvan5	Bagvalal	3	j=eɬi	идти	f=v	preterite	pst	NA	NA	main line	46	
b9	kvan3	Bagvalal	3			adj-vrb-part=n	participle	other	NA	NA	non-clausal	51	
b9	kvan3	Bagvalal	3			n=v	preterite	pst	NA	NA	main line	51	
t01	mish1	Tsakhur	3	qod-a	рвать	npl.v-ipf	present	other	naf		main line	52	
t01	mish1	Tsakhur	3	pis=da-jiː	плохой	adj=adv.npl-em1	unknown	other	naf		main line	52	em1 as a copula
t02	mish1	Tsakhur	3	ha=w-ʔ-u-niː	делать	3=v-pf-em2	aorist	pst	naf		comment	53	
t03	mish9	Tsakhur	3	ɢadže-n	видеть	4.v.ipf-a	atr_present	other	af		main line	54	
t03	mish9	Tsakhur	3	wo=b alʁaːh-a	быть переходить	cop=3 3.v-ipf	naf_durative	other	naf	ep	main line	54	
t04	mish4	Tsakhur	3	ješemiš-exe	жить-стать	v-1.v.ipf	atr_present	other	af		comment	55	
t4	mish4	Tsakhur	3	iwho-jn	говорить	v.pf-a	atr_aorist	pst	af		main line	62	
t4	mish4	Tsakhur	3	balkan-o=b=na	лощадь-быть	noun.3-v=3=aa	atr_present	other	af		quote	62	
t4	mish4	Tsakhur	3	wo=r ič’-u	быть входить	v=1 1.v-pf	naf_perfect	pf	naf	ep	main line	62	
t4	mish4	Tsakhur	3	k’ɨr-o=d gʲaqː-ɨ	ухо.быть снимать	noun.4-v=4 4.v-pf	naf_perfect	pf	naf	ep	main line	62	
t4	mish4	Tsakhur	3	w=ix-es deš	стать не.быть	3=v-pot neg.cop	naf_prospective	other	naf	ep	quote	62	
t4	mish4	Tsakhur	3	ha=r=k’ɨn-iːnɢaˁ	идти	1=v.pf-temp1	sconverb	other	naf		dependent	62	
t7	mish8	Tsakhur	3	ɨxa-jn	стать	4.v-a	atr_aorist	pst	af		main line	67	
t8	mish4	Tsakhur	3	w-uxa	стать	3=v.pf	aorist	pst	naf		main line	68	
b10	kvan14	Bagvalal	4			f=v.ipf-part=n	participle	other	NA	NA	non-clausal	5	
b10	kvan14	Bagvalal	4			n=v-ipf-part=hpl	participle	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	4			hpl=v=hpl=conv cop	perfect	pf	NA	NA	main line	5	
b11	kvan5	Bagvalal	4			n=v=f=conv	converb	other	NA	NA	dependent	6	
b11	kvan5	Bagvalal	4			v-msd-la	masdar	other	NA	NA	non-clausal	6	
b11	kvan5	Bagvalal	4			f=v.ipf-part=f f=v	preterite_habitual	other	NA	NA	main line	6	
b12	kvan10	Bagvalal	4			v=m=conv	converb	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	4			v=n=conv	converb	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	4			n=v-neg-part=n=da	participle	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	4			v=hpl=comit hpl=v=hpl	preterite	pst	NA	NA	main line	7	
b13	kvan5	Bagvalal	4			n-v-ipf-fut.neg	future	other	NA	NA	quote	8	
b13	kvan5	Bagvalal	4			neg.cop	present	other	NA	NA	quote	8	
b13	kvan5	Bagvalal	4			n=v-neg	preterite	pst	NA	NA	quote	8	
b15	kvan9	Bagvalal	4			neg.cop-re	present	other	NA	NA	quote	14	
b16	kvan13	Bagvalal	4			n=v-ipf-conv n=v=n=conv cop	perfect_imperfect	other	NA	NA	main line	18	
b17	kvan13	Bagvalal	4			n=v-neg.conv	converb	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	4			hpl=v-pot.inf	infinitive	other	NA	NA	dependent	19	
b17	kvan13	Bagvalal	4			m=v-ipf-conv m=v=m=conv cop	perfect_imperfect	other	NA	NA	main line	19	
b18	kvan5	Bagvalal	4			n=v=n=conv	converb	other	NA	NA	dependent	20	
b18	kvan5	Bagvalal	4			v=n=conv cop	perfect	pf	NA	NA	main line	20	
b18	kvan5	Bagvalal	4			v n=v-raso-f	preterite	pst	NA	NA	quote	20	
b18	kvan5	Bagvalal	4			n=v-neg	preterite	pst	NA	NA	quote	20	
b20	kvan14	Bagvalal	4			v-caus=npl=conv	converb	other	NA	NA	dependent	24	
b20	kvan14	Bagvalal	4			n=v=n=conv cop	perfect	pf	NA	NA	main line	24	
b20	kvan14	Bagvalal	4			n=v=n=conv cop	perfect	pf	NA	NA	main line	24	
b24	kvan5	Bagvalal	4			cop	present	other	NA	NA	quote	40	
b25	kvan14	Bagvalal	4			v.ipf-part=n	participle	other	NA	NA	dependent	41	
b25	kvan14	Bagvalal	4			n=v=n=conv cop	perfect	pf	NA	NA	first	41	
b25	kvan14	Bagvalal	4			cop(=part.n)-temp	sconverb	other	NA	NA	dependent	41	
b3	kvan11	Bagvalal	4	heƛ’i=b=o	говорить	v=n=conv	converb	other	NA	NA	dependent	42	
b3	kvan11	Bagvalal	4	dž-aːla	делать	v-pot.inf	infinitive	other	NA	NA	dependent	42	
b3	kvan11	Bagvalal	4	ʕeː-r-oː=b	свертываться	v-ms.ipf-part=n	participle	other	NA	NA	dependent	42	
b3	kvan11	Bagvalal	4	mut’iʕ-li-č’-u=b	подчиненный	adj-vrb-neg-part=n	participle	other	NA	NA	NA	42	
b3	kvan11	Bagvalal	4	b=uʁu=r=o ek’ʷa	посылать есть	hpl=v=hpl=conv cop	perfect	pf	NA	NA	main line	42	
b4	kvan11	Bagvalal	4	š’ːaː=w=o	убегать	v=m=conv	converb	other	NA	NA	dependent	43	
b4	kvan11	Bagvalal	4	w=eɬi=w=o ek’ʷa	уходить есть	m=v=m=conv cop	perfect	pf	NA	NA	main line	43	
b5	kvan4	Bagvalal	4	w=is-aːn-ɬ-o=w	находить	m=v-pot-fut-part=m	participle	other	NA	NA	dependent	44	
b5	kvan4	Bagvalal	4	b=as’ĩ	спрашивать	n=v	preterite	pst	NA	NA	main line	44	
b5	kvan4	Bagvalal	4	haːn-či-ɬe-di	видеть	v-neg-q-di	preterite	pst	NA	NA	quote	44	
b5	kvan4	Bagvalal	4	w=uk’a	быть	m=v	preterite	pst	NA	NA	main line	44	
b7	kvan5	Bagvalal	4	j=eɬ-u=b=q’aɬːani	идти	f=v-part=n=temp	converb	other	NA	NA	dependent	46	
b7	kvan5	Bagvalal	4	r=išːi=j=eːna	держать	npl=v=f=conv.comit	converb	other	NA	NA	dependent	46	
b7	kvan5	Bagvalal	4	j=aː	приходить	f=v	preterite	pst	NA	NA	main line	46	
b9	kvan3	Bagvalal	4			v-ipf-part=n=loc	participle	other	NA	NA	non-clausal	51	
b9	kvan3	Bagvalal	4			hpl=v=hpl=neg	preterite	pst	NA	NA	main line	51	
t01	mish1	Tsakhur	4	kj’oːč-u-jiː	садиться	3.v-pf-em1	aorist	pst	naf		main line	52	
t01	mish1	Tsakhur	4	hi=p=xɨr-iːnɢaI	доходить	hpl=v.pf-temp1	sconverb	other	naf		dependent	52	
t02	mish1	Tsakhur	4	aˁlhjaː ɨxa	идти стать	1.v.ipf 1.v.pf	imperfect	other	naf		first	53	
t03	mish9	Tsakhur	4	wo=b-iː	быть	cop=3-em1	present	other	naf		main line	54	
t04	mish4	Tsakhur	4	kočmiš-xa	переезжать-стать	v-1.v.pf	aorist	pst	naf		first	55	
t2	mish3	Tsakhur	4	iwho-jn	говорить	v.pf-a	atr_aorist	pst	af		main line	57	
t2	mish3	Tsakhur	4	taːm-aʔ-iːnɢaˁ	кончать-делать	v-4.v.pf-temp1	sconverb	other	naf		dependent	57	
t4	mish4	Tsakhur	4	iwho-jn	говорить	v-pf-a	atr_aorist	pst	af		main line	62	
t4	mish4	Tsakhur	4	w=aˁχ-as-da	мочь	3=v-pot-aa	atr_potential	other	af		quote	62	
t4	mish4	Tsakhur	4	deš-da	не.быть	neg.cop-aa	atr_present	other	af		quote	62	corrected translation of the verb
t4	mish4	Tsakhur	4	qoːˁq-as	красть	3.v-pot	infinitive	other	naf		dependent	62	
t7	mish8	Tsakhur	4	mɨs-mɨk’a-qi=w=xa	голодный-холодный-стать	adj-adj-3=v.pf	aorist	pst	naf		main line	67	
t8	mish4	Tsakhur	4	hi=w=χ-u wo=b	убегать быть	3=v-pf v=3	naf_perfect	pf	naf	ep	main line	68	
t8	mish4	Tsakhur	4	ɢa=w=dži-meː	видеть	hpl=v.pf-lim	sconverb	other	naf		dependent	68	
b10	kvan14	Bagvalal	5			n=v.ipf-part=n=uq	participle	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	5			v-ipf-part=hpl hpl=v=hpl=conv cop	perfect_habitual	other	NA	NA	main line	5	
b11	kvan5	Bagvalal	5			f=v-ipf-part=m	participle	other	NA	NA	dependent	6	
b11	kvan5	Bagvalal	5			n=v	preterite	pst	NA	NA	main line	6	
b12	kvan10	Bagvalal	5			hpl=v=hpl.conv=comit hpl=v=hpl	preterite	pst	NA	NA	main line	7	comitative construction
b13	kvan5	Bagvalal	5			v-ipf-part=n	participle	other	NA	NA	quote	8	
b13	kvan5	Bagvalal	5			v-ipf-part=n	participle	other	NA	NA	quote	8	
b15	kvan9	Bagvalal	5			n=v-pot.inf	infinitive	other	NA	NA	dependent	15	
b15	kvan9	Bagvalal	5			f=v=f=conv cop	perfect	pf	NA	NA	first	15	
b15	kvan9	Bagvalal	5			n=v=part.n=temp	sconverb	other	NA	NA	dependent	15	
b16	kvan13	Bagvalal	5			n=v-ipf-da-neg-part=n=q=re	participle	other	NA	NA	quote	18	
b17	kvan13	Bagvalal	5			v-ipf.inf-q-re	infinitive	other	NA	NA	quote	19	
b17	kvan13	Bagvalal	5			v=n=conv cop	perfect	pf	NA	NA	main line	19	
b18	kvan5	Bagvalal	5			v-ipf.inf	infinitive	other	NA	NA	dependent	20	
b18	kvan5	Bagvalal	5			v	preterite	pst	NA	NA	main line	20	
b19	kvan14	Bagvalal	5			n=v=n=conv cop	perfect	pf	NA	NA	first	21	
b20	kvan14	Bagvalal	5			n=v=n=conv	converb	other	NA	NA	dependent	24	
b20	kvan14	Bagvalal	5			v=npl=conv cop	perfect	pf	NA	NA	main line	24	
b24	kvan5	Bagvalal	5			n=v n=v	preterite	pst	NA	NA	main line	40	
b24	kvan5	Bagvalal	5			v-la m=v=m=conv m=v=part.m=temp	sconverb	other	NA	NA	dependent	40	
b25	kvan14	Bagvalal	5			m=v.pot.inf	infinitive	other	NA	NA	dependent	41	
b25	kvan14	Bagvalal	5			m=v=m=conv neg.cop	perfect	pf	NA	NA	main line	41	
b25	kvan14	Bagvalal	5			n=v=n=conv neg.cop	perfect	pf	NA	NA	main line	41	
b25	kvan14	Bagvalal	5			m=v=part.n=temp	sconverb	other	NA	NA	dependent	41	
b3	kvan11	Bagvalal	5	b=uk’-a-ɬab-oː	быть	hpl=v-pot-abo-m	categorical affirmative	other	NA	NA	main line	42	
b4	kvan11	Bagvalal	5	w=uχː-a-ɬena	оставаться	m=v-pot-ant2	converb	other	NA	NA	dependent	43	
b4	kvan11	Bagvalal	5	k’ʷa=r=o ek’ʷa	убивать есть	v=hpl=conv cop	perfect	pf	NA	NA	main line	43	
b5	kvan4	Bagvalal	5	b=asan-či-ra=b=o	говорить	n=v-neg=n=conv	converb	other	NA	NA	dependent	44	
b5	kvan4	Bagvalal	5	ek’ʷa=w=la	есть	cop=part.m=la	participle	other	NA	NA	dependent	44	
b5	kvan4	Bagvalal	5	heƛ’-aː-ɬ-o=b	говорить	v-pot-fut-part=n	participle	other	NA	NA	dependent	44	
b5	kvan4	Bagvalal	5	b=as’ĩ	спрашивать	n=v	preterite	pst	NA	NA	main line	44	
b6	kvan4	Bagvalal	5	b=eta=b=q’arɬːir	оставлять	n=v=part.n=temp	converb	other	NA	NA	dependent	45	
b6	kvan4	Bagvalal	5	b=ešta	пускать	n=v	preterite	pst	NA	NA	dependent	45	
b6	kvan4	Bagvalal	5	q’aːr-eː	наряжаться	v-caus	preterite	pst	NA	NA	first	45	
b7	kvan5	Bagvalal	5	b=išːi=b=o	держать	n=v=n=conv	converb	other	NA	NA	dependent	46	
b7	kvan5	Bagvalal	5	heƛ’i	говорить	v	preterite	pst	NA	NA	main line	46	
b9	kvan3	Bagvalal	5			v-pot.inf	infinitive	other	NA	NA	dependent	51	
b9	kvan3	Bagvalal	5			v	preterite	pst	NA	NA	main line	51	
t02	mish1	Tsakhur	5	w=uxa i=w=iːkɨr	стать ходить	hpl=v.pf hpl=v.pf	pluperfect	other	naf		comment	53	
t03	mish9	Tsakhur	5	ɢadže deš	видеть не.быть	1.v.pf neg.cop	aorist	pst	naf		main line	54	
t03	mish9	Tsakhur	5	qi=w=xa-na	стать	3=v.pf-aa	atr_aorist	pst	af		main line	54	
t04	mish4	Tsakhur	5	ič’-u	входить	1.v-pf	aorist	pst	naf		main line	55	
t2	mish3	Tsakhur	5	aˁχ-as-ɨn	мочь	4.v-pot-a	atr_potential	other	af		quote	57	
t2	mish3	Tsakhur	5	qikːe	увозить	1.v-imp	imperative	other	naf		quote	57	
t2	mish3	Tsakhur	5	qaˁ=t=q-as	учиться	4=v-pot	infinitive	other	naf		quote	57	
t4	mish4	Tsakhur	5	qoːˁ-as-da	красть	3.v-pot-aa	atr_infinitive	other	af		dependent	62	
t4	mish4	Tsakhur	5	deš-da-wɨ	не.быть	neg.cop-aa-wy	atr_present	other	af		quote	62	
t4	mish4	Tsakhur	5	ɢajx-ɨ	слышать	4.v-pf	converb	other	naf		dependent	62	
t4	mish4	Tsakhur	5	set’u wo=d	задевать быть	4.v-pf v=4	naf_perfect	pf	naf	ep	main line	62	
t4	mish4	Tsakhur	5	iwho-jnɢaˁ	говорить	v.pf-temp1	sconverb	other	naf		dependent	62	
t7	mish8	Tsakhur	5	a=w=χ-u	оставаться	3=v-pf	aorist	pst	naf		main line	67	
t8	mish4	Tsakhur	5	qɨʁaːh-a	доставать	3.v-ipf	converb	other	naf		dependent	68	
t8	mish4	Tsakhur	5	gi=b=ʁɨl-o=b	начинать-быть	hpl=v.pf-v=hpl	naf_perfect	pf	naf	ep	main line	68	
t8	mish4	Tsakhur	5	i=w=č’-u-meː	входить	3=v-pf-lim	sconverb	other	naf		dependent	68	
t01	mish1	Tsakhur	5.6	qačaːxar-iː	спотыкаться	hpl.v.ipf-em1	present	other	naf		main line	52	
t01	mish1	Tsakhur	5.6	mič’aIχ=da-jiː	темный	adj=adv.4-em1	unknown	other	naf		main line	52	em1 as a copula
b10	kvan14	Bagvalal	6			n=v=hpl=conv	converb	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	6			npl=v=hpl=conv	converb	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	6			v=hpl=conv	converb	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	6			v=hpl=conv	converb	other	NA	NA	dependent	5	
b10	kvan14	Bagvalal	6			v-ipf-part=n n=v=n=conv cop	perfect_habitual	other	NA	NA	main line	5	
b11	kvan5	Bagvalal	6			n=v-ipf-part=n	participle	other	NA	NA	quote	6	
b11	kvan5	Bagvalal	6			v	preterite	pst	NA	NA	main line	6	
b12	kvan10	Bagvalal	6			n=v-neg-conv	converb	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	6			v-ipf-part=npl	participle	other	NA	NA	dependent	7	
b12	kvan10	Bagvalal	6			v	preterite	pst	NA	NA	main line	7	
b14	kvan4	Bagvalal	6			f=v-rala	preterite	pst	NA	NA	main line	9	quote: first person perspective
